File: ./test_images/image_1_0.png, Prediction: 0, Reality: 0, Probability: 0.9999961853027344
File: ./test_images/image_1_1.png, Prediction: 1, Reality: 1, Probability: 0.5076184868812561
File: ./test_images/image_1_2.png, Prediction: 2, Reality: 2, Probability: 0.9873548150062561
File: ./test_images/image_1_3.png, Prediction: 3, Reality: 3, Probability: 0.9999967813491821
File: ./test_images/image_1_4.png, Prediction: 4, Reality: 4, Probability: 0.9999995231628418
File: ./test_images/image_1_5.png, Prediction: 5, Reality: 5, Probability: 1.0
File: ./test_images/image_1_6.png, Prediction: 6, Reality: 6, Probability: 0.9932189583778381
File: ./test_images/image_1_7.png, Prediction: 7, Reality: 7, Probability: 0.9999935626983643
File: ./test_images/image_1_8.png, Prediction: 8, Reality: 8, Probability: 0.9999954700469971
File: ./test_images/image_1_9.png, Prediction: 9, Reality: 9, Probability: 0.9998038411140442
File: ./test_images/image_2_0.png, Prediction: 0, Reality: 0, Probability: 0.9999886751174927
File: ./test_images/image_2_1.png, Prediction: 1, Reality: 1, Probability: 0.9999397993087769
File: ./test_images/image_2_2.png, Prediction: 2, Reality: 2, Probability: 0.9999661445617676
File: ./test_images/image_2_3.png, Prediction: 3, Reality: 3, Probability: 0.9999606609344482
File: ./test_images/image_2_4.png, Prediction: 4, Reality: 4, Probability: 0.9999740123748779
File: ./test_images/image_2_5.png, Prediction: 5, Reality: 5, Probability: 0.9999998807907104
File: ./test_images/image_2_6.png, Prediction: 6, Reality: 6, Probability: 0.9984435439109802
File: ./test_images/image_2_7.png, Prediction: 7, Reality: 7, Probability: 0.9679210782051086
File: ./test_images/image_2_8.png, Prediction: 8, Reality: 8, Probability: 0.9999958276748657
File: ./test_images/image_2_9.png, Prediction: 9, Reality: 9, Probability: 0.9961658716201782
File: ./test_images/image_1_0.png, Prediction: 0, Reality: 0, Probability: 0.9999961853027344
File: ./test_images/image_1_1.png, Prediction: 1, Reality: 1, Probability: 0.5076184868812561
File: ./test_images/image_1_2.png, Prediction: 2, Reality: 2, Probability: 0.9873548150062561
File: ./test_images/image_1_3.png, Prediction: 3, Reality: 3, Probability: 0.9999967813491821
File: ./test_images/image_1_4.png, Prediction: 4, Reality: 4, Probability: 0.9999995231628418
File: ./test_images/image_1_5.png, Prediction: 5, Reality: 5, Probability: 1.0
File: ./test_images/image_1_6.png, Prediction: 6, Reality: 6, Probability: 0.9932189583778381
File: ./test_images/image_1_0.png, Prediction: 0, Reality: 0, Probability: 0.9999961853027344
File: ./test_images/image_1_1.png, Prediction: 1, Reality: 1, Probability: 0.5076184868812561
File: ./test_images/image_1_2.png, Prediction: 2, Reality: 2, Probability: 0.9873548150062561
File: ./test_images/image_1_3.png, Prediction: 3, Reality: 3, Probability: 0.9999967813491821
File: ./test_images/image_1_4.png, Prediction: 4, Reality: 4, Probability: 0.9999995231628418
File: ./test_images/image_1_5.png, Prediction: 5, Reality: 5, Probability: 1.0
File: ./test_images/image_1_6.png, Prediction: 6, Reality: 6, Probability: 0.9932189583778381
File: ./test_images/image_1_7.png, Prediction: 7, Reality: 7, Probability: 0.9999935626983643
File: ./test_images/image_1_8.png, Prediction: 8, Reality: 8, Probability: 0.9999954700469971
File: ./test_images/image_1_9.png, Prediction: 9, Reality: 9, Probability: 0.9998038411140442
File: ./test_images/image_2_0.png, Prediction: 0, Reality: 0, Probability: 0.9999886751174927
File: ./test_images/image_2_1.png, Prediction: 1, Reality: 1, Probability: 0.9999397993087769
File: ./test_images/image_2_2.png, Prediction: 2, Reality: 2, Probability: 0.9999661445617676
File: ./test_images/image_2_3.png, Prediction: 3, Reality: 3, Probability: 0.9999606609344482
File: ./test_images/image_2_4.png, Prediction: 4, Reality: 4, Probability: 0.9999740123748779
File: ./test_images/image_2_5.png, Prediction: 5, Reality: 5, Probability: 0.9999998807907104
File: ./test_images/image_2_6.png, Prediction: 6, Reality: 6, Probability: 0.9984435439109802
